sheet_name,condition_number,voltage_V,duration_ms,duration_us,sample_index_in_sheet,signal_column,samz,samz_min_in_sheet,samz_max_in_sheet,hfo2_fraction,zro2_fraction,hfo2_percent,zro2_percent,x_in_Hf1_minus_x_ZrxO2,monoclinic_phase_fraction,orthorhombic_phase_fraction,tetragonal_phase_fraction,phase_fraction_sum,phase_fraction_sum_error,dominant_phase,dominant_phase_fraction
num2,2,716,7.6,7600.0,9,th:0.260_samz:-4036,-4036,-8247,-352,0.46662444585180496,0.533375554148195,46.662444585180495,53.337555414819505,0.533375554148195,0.2041081772597352,0.3056771753915258,0.490214647348739,1.0,0.0,tetragonal,0.490214647348739
num2,2,716,7.6,7600.0,10,th:0.260_samz:-3510,-3510,-8247,-352,0.4,0.6,40.0,60.0,0.6,0.1015828470567285,0.3463475971687484,0.5520695557745232,1.0,0.0,tetragonal,0.5520695557745232
num2,2,716,7.6,7600.0,11,th:0.260_samz:-2983,-2983,-8247,-352,0.33324889170360983,0.6667511082963902,33.32488917036098,66.67511082963901,0.6667511082963902,0.03512064264083916,0.3690257374891787,0.5958536198699822,1.0,0.0,tetragonal,0.5958536198699822
num2,2,716,7.6,7600.0,12,th:0.260_samz:-2457,-2457,-8247,-352,0.2666244458518049,0.7333755541481951,26.662444585180488,73.3375554148195,0.7333755541481951,0.009000067130392387,0.3481172705403023,0.6428826623293052,0.9999999999999999,1.1102230246251565e-16,tetragonal,0.6428826623293052
num2,2,716,7.6,7600.0,13,th:0.260_samz:-1931,-1931,-8247,-352,0.19999999999999996,0.8,19.999999999999996,80.0,0.8,0.001562217962835465,0.3217804667892978,0.6766573152478667,0.9999999999999999,1.1102230246251565e-16,tetragonal,0.6766573152478667
num2,2,716,7.6,7600.0,14,th:0.260_samz:-1405,-1405,-8247,-352,0.13337555414819502,0.866624445851805,13.337555414819501,86.6624445851805,0.866624445851805,0.0002396402957103255,0.2648978926657914,0.7348624670384982,1.0,0.0,tetragonal,0.7348624670384982
num2,2,716,7.6,7600.0,15,th:0.260_samz:-878,-878,-8247,-352,0.06662444585180494,0.9333755541481951,6.662444585180493,93.3375554148195,0.9333755541481951,3.139875240886911e-05,0.1855563035591903,0.814412297688401,1.0000000000000002,2.220446049250313e-16,tetragonal,0.814412297688401
num2,2,716,7.6,7600.0,16,th:0.260_samz:-352,-352,-8247,-352,0.0,1.0,0.0,100.0,1.0,2.12285877989763e-12,0.1142637023484257,0.8857362976494515,1.0,0.0,tetragonal,0.8857362976494515
num3,3,716,5.1,5100.0,1,th:0.260_samz:-7547,-7547,-7547,347,1.0,0.0,100.0,0.0,0.0,0.245702775124735,0.02601649306915628,0.7282807318061086,1.0,0.0,tetragonal,0.7282807318061086
num3,3,716,5.1,5100.0,2,th:0.260_samz:-7021,-7021,-7547,347,0.933367114263998,0.06663288573600203,93.3367114263998,6.6632885736002025,0.06663288573600203,0.3142080913419413,0.02732204378299108,0.6584698648750676,1.0,0.0,tetragonal,0.6584698648750676
num3,3,716,5.1,5100.0,3,th:0.260_samz:-6495,-6495,-7547,347,0.866734228527996,0.13326577147200405,86.6734228527996,13.326577147200405,0.13326577147200405,0.3174709487344376,0.02712478555612251,0.6554042657094398,0.9999999999999999,1.1102230246251565e-16,tetragonal,0.6554042657094398
num3,3,716,5.1,5100.0,4,th:0.260_samz:-5968,-5968,-7547,347,0.7999746643020015,0.2000253356979985,79.99746643020015,20.002533569799848,0.2000253356979985,0.3346064684885371,0.03155058814493977,0.633842943366523,0.9999999999999999,1.1102230246251565e-16,tetragonal,0.633842943366523
num3,3,716,5.1,5100.0,5,th:0.260_samz:-5442,-5442,-7547,347,0.7333417785659995,0.26665822143400053,73.33417785659995,26.665822143400053,0.26665822143400053,0.3409387493839965,0.04025571976542099,0.6188055308505824,0.9999999999999999,1.1102230246251565e-16,tetragonal,0.6188055308505824
num3,3,716,5.1,5100.0,6,th:0.260_samz:-4916,-4916,-7547,347,0.6667088928299975,0.33329110717000254,66.67088928299975,33.329110717000255,0.33329110717000254,0.3273091213575921,0.05084804815133673,0.6218428304910713,1.0,0.0,tetragonal,0.6218428304910713
num3,3,716,5.1,5100.0,7,th:0.260_samz:-4390,-4390,-7547,347,0.6000760070939954,0.39992399290600456,60.00760070939955,39.99239929060045,0.39992399290600456,0.3089663216812222,0.06486120284767342,0.6261724754711043,1.0,0.0,tetragonal,0.6261724754711043
num3,3,716,5.1,5100.0,8,th:0.260_samz:-3863,-3863,-7547,347,0.5333164428680011,0.466683557131999,53.331644286800106,46.6683557131999,0.466683557131999,0.2678802716957956,0.07562001117245697,0.6564997171317474,1.0,0.0,tetragonal,0.6564997171317474
num3,3,716,5.1,5100.0,9,th:0.260_samz:-3336,-3336,-7547,347,0.46655687864200657,0.5334431213579934,46.65568786420066,53.34431213579934,0.5334431213579934,0.1910003681278974,0.09621311632292875,0.7127865155491739,1.0,0.0,tetragonal,0.7127865155491739
num3,3,716,5.1,5100.0,10,th:0.260_samz:-2809,-2809,-7547,347,0.3997973144160122,0.6002026855839878,39.97973144160122,60.02026855839878,0.6002026855839878,0.09683124189848273,0.1620063727089991,0.7411623853925181,1.0,0.0,tetragonal,0.7411623853925181
num3,3,716,5.1,5100.0,11,th:0.260_samz:-2283,-2283,-7547,347,0.33316442868001017,0.6668355713199898,33.31644286800102,66.68355713199898,0.6668355713199898,0.03274968761748139,0.2605307630482953,0.7067195493342233,1.0,0.0,tetragonal,0.7067195493342233
num3,3,716,5.1,5100.0,12,th:0.260_samz:-1757,-1757,-7547,347,0.26653154294400816,0.7334684570559918,26.653154294400817,73.34684570559918,0.7334684570559918,0.008415711491568367,0.3491458928573684,0.6424383956510633,1.0,0.0,tetragonal,0.6424383956510633
num3,3,716,5.1,5100.0,13,th:0.260_samz:-1231,-1231,-7547,347,0.19989865720800604,0.800101342791994,19.989865720800605,80.01013427919939,0.800101342791994,0.001711180131081911,0.3930897956335149,0.6051990242354032,1.0,0.0,tetragonal,0.6051990242354032
num3,3,716,5.1,5100.0,14,th:0.260_samz:-704,-704,-7547,347,0.13313909298201165,0.8668609070179883,13.313909298201166,86.68609070179883,0.8668609070179883,0.0003005248105333936,0.3667409250640001,0.6329585501254666,1.0,0.0,tetragonal,0.6329585501254666
num3,3,716,5.1,5100.0,15,th:0.260_samz:-178,-178,-7547,347,0.06650620724600964,0.9334937927539904,6.650620724600964,93.34937927539903,0.9334937927539904,4.572963964088504e-05,0.2841464001526575,0.7158078702077016,1.0,0.0,tetragonal,0.7158078702077016
num3,3,716,5.1,5100.0,16,th:0.260_samz:347,347,-7547,347,0.0,1.0,0.0,100.0,1.0,5.281175186425804e-12,0.1852768114187548,0.814723188575964,1.0,0.0,tetragonal,0.814723188575964
