sheet_name,condition_number,voltage_V,duration_ms,duration_us,sample_index_in_sheet,signal_column,samz,samz_min_in_sheet,samz_max_in_sheet,hfo2_fraction,zro2_fraction,hfo2_percent,zro2_percent,x_in_Hf1_minus_x_ZrxO2,monoclinic_phase_fraction,orthorhombic_phase_fraction,tetragonal_phase_fraction,phase_fraction_sum,phase_fraction_sum_error,dominant_phase,dominant_phase_fraction
num5,5,674,10.1,10100.0,6,th:0.260_samz:-4816,-4816,-7447,447,0.6667088928299975,0.33329110717000254,66.67088928299975,33.329110717000255,0.33329110717000254,0.08178987462843841,0.8235503946575888,0.09465973071397281,1.0,0.0,orthorhombic,0.8235503946575888
num5,5,674,10.1,10100.0,7,th:0.260_samz:-4289,-4289,-7447,447,0.599949328604003,0.400050671395997,59.9949328604003,40.005067139599696,0.400050671395997,0.05883462333535999,0.8286526307277838,0.1125127459368561,0.9999999999999999,1.1102230246251565e-16,orthorhombic,0.8286526307277838
num5,5,674,10.1,10100.0,8,th:0.260_samz:-3763,-3763,-7447,447,0.5333164428680011,0.466683557131999,53.331644286800106,46.6683557131999,0.466683557131999,0.03559853233802034,0.8243456970141414,0.1400557706478383,1.0,0.0,orthorhombic,0.8243456970141414
num5,5,674,10.1,10100.0,9,th:0.260_samz:-3236,-3236,-7447,447,0.46655687864200657,0.5334431213579934,46.65568786420066,53.34431213579934,0.5334431213579934,0.01779175639596089,0.8028788958759666,0.1793293477280726,1.0,0.0,orthorhombic,0.8028788958759666
num5,5,674,10.1,10100.0,10,th:0.260_samz:-2710,-2710,-7447,447,0.39992399290600456,0.6000760070939954,39.99239929060045,60.00760070939955,0.6000760070939954,0.007754479574120832,0.7532761623844372,0.2389693580414421,1.0,0.0,orthorhombic,0.7532761623844372
num5,5,674,10.1,10100.0,11,th:0.260_samz:-2183,-2183,-7447,447,0.33316442868001017,0.6668355713199898,33.31644286800102,66.68355713199898,0.6668355713199898,0.002773064828607274,0.68789751464461,0.3093294205267826,0.9999999999999999,1.1102230246251565e-16,orthorhombic,0.68789751464461
num5,5,674,10.1,10100.0,12,th:0.260_samz:-1657,-1657,-7447,447,0.26653154294400816,0.7334684570559918,26.653154294400817,73.34684570559918,0.7334684570559918,0.0008916715388874351,0.6040342272911833,0.3950741011699293,1.0,0.0,orthorhombic,0.6040342272911833
num5,5,674,10.1,10100.0,13,th:0.260_samz:-1131,-1131,-7447,447,0.19989865720800604,0.800101342791994,19.989865720800605,80.01013427919939,0.800101342791994,0.0002616232355487884,0.5199519285274791,0.479786448236972,0.9999999999999998,2.220446049250313e-16,orthorhombic,0.5199519285274791
num5,5,674,10.1,10100.0,14,th:0.260_samz:-605,-605,-7447,447,0.13326577147200402,0.866734228527996,13.326577147200403,86.6734228527996,0.866734228527996,7.476959085625978e-05,0.4337378188874705,0.5661874115216731,0.9999999999999998,2.220446049250313e-16,tetragonal,0.5661874115216731
num5,5,674,10.1,10100.0,15,th:0.260_samz:-78,-78,-7447,447,0.06650620724600964,0.9334937927539904,6.650620724600964,93.34937927539903,0.9334937927539904,2.144833250095933e-05,0.3296030974963606,0.6703754541711385,1.0,0.0,tetragonal,0.6703754541711385
